,precision,recall,f1-score,support
bus,0.8952380952380953,0.94,0.9170731707317075,100.0
car,0.9207920792079208,0.93,0.9253731343283582,100.0
motocycle,0.9896907216494846,0.96,0.9746192893401014,100.0
pickupTruck,0.9607843137254902,0.98,0.9702970297029702,100.0
truck,0.9278350515463918,0.9,0.9137055837563451,100.0
van,0.9183673469387755,0.9,0.9090909090909091,100.0
accuracy,0.935,0.935,0.935,0.935
macro avg,0.9354512680510264,0.935,0.935026519491732,600.0
weighted avg,0.9354512680510264,0.935,0.9350265194917319,600.0
